2015/04/09 04:19:11 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2015/04/09 04:19:12 INFO  - jmeter.JMeter: Loading user properties from: /home/guillermo/SI2-git/p2/scripts/jakarta-jmeter/bin/user.properties 
2015/04/09 04:19:12 INFO  - jmeter.JMeter: Loading system properties from: /home/guillermo/SI2-git/p2/scripts/jakarta-jmeter/bin/system.properties 
2015/04/09 04:19:12 INFO  - jmeter.JMeter: Copyright (c) 1998-2011 The Apache Software Foundation 
2015/04/09 04:19:12 INFO  - jmeter.JMeter: Version 2.5.1 r1177103 
2015/04/09 04:19:12 INFO  - jmeter.JMeter: java.version=1.7.0_71 
2015/04/09 04:19:12 INFO  - jmeter.JMeter: java.vm.name=OpenJDK 64-Bit Server VM 
2015/04/09 04:19:12 INFO  - jmeter.JMeter: os.name=Linux 
2015/04/09 04:19:12 INFO  - jmeter.JMeter: os.arch=amd64 
2015/04/09 04:19:12 INFO  - jmeter.JMeter: os.version=3.14.27-100.fc19.x86_64 
2015/04/09 04:19:12 INFO  - jmeter.JMeter: file.encoding=UTF-8 
2015/04/09 04:19:12 INFO  - jmeter.JMeter: Default Locale=English (United States) 
2015/04/09 04:19:12 INFO  - jmeter.JMeter: JMeter  Locale=English (United States) 
2015/04/09 04:19:12 INFO  - jmeter.JMeter: JMeterHome=/home/guillermo/SI2-git/p2/scripts/jakarta-jmeter 
2015/04/09 04:19:12 INFO  - jmeter.JMeter: user.dir  =/home/guillermo/SI2-git/p2/scripts 
2015/04/09 04:19:12 INFO  - jmeter.JMeter: PWD       =/home/guillermo/SI2-git/p2/scripts 
2015/04/09 04:19:12 ERROR - jmeter.util.JMeterUtils: Unable to get local host IP address. 
2015/04/09 04:19:12 ERROR - jmeter.util.JMeterUtils: Unable to get local host IP address. 
2015/04/09 04:19:12 ERROR - jmeter.util.JMeterUtils: Unable to get local host IP address. 
2015/04/09 04:19:12 INFO  - jmeter.JMeter: IP: null Name: null FullName: null 
2015/04/09 04:19:12 INFO  - jmeter.services.FileServer: Default base='/home/guillermo/SI2-git/p2/scripts' 
2015/04/09 04:19:12 INFO  - jmeter.services.FileServer: Set new base '/home/guillermo/SI2-git/p2/scripts' 
2015/04/09 04:19:12 INFO  - jmeter.JMeter: Loading file: P2-curvaProductividad.jmx 
2015/04/09 04:19:12 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2015/04/09 04:19:12 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2015/04/09 04:19:12 INFO  - jmeter.save.SaveService: Using SaveService properties file version 1050447 
2015/04/09 04:19:12 INFO  - jmeter.save.SaveService: Using SaveService properties version 2.1 
2015/04/09 04:19:12 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2015/04/09 04:19:12 INFO  - jmeter.protocol.http.control.CookieManager: Settings: Delete null: true Check: true Allow variable: true Save: false Prefix: COOKIE_ 
2015/04/09 04:19:12 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2015/04/09 04:19:12 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2015/04/09 04:19:12 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2015/04/09 04:19:12 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
2015/04/09 04:19:12 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is  
2015/04/09 04:19:12 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2015/04/09 04:19:12 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Reuse SSL session context on subsequent iterations: true 
2015/04/09 04:19:12 INFO  - jmeter.engine.StandardJMeterEngine: Listeners will be started after enabling running version 
2015/04/09 04:19:12 INFO  - jmeter.engine.StandardJMeterEngine: To revert to the earlier behaviour, define jmeterengine.startlistenerslater=false 
2015/04/09 04:19:12 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2015/04/09 04:19:12 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2015/04/09 04:19:12 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2015/04/09 04:19:12 INFO  - jmeter.JMeter: Running test (1428545952666) 
2015/04/09 04:19:12 INFO  - jmeter.engine.StandardJMeterEngine: Starting 625 threads for group Consultas. 
2015/04/09 04:19:12 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2015/04/09 04:19:12 INFO  - jmeter.threads.JMeterThread: jmeterthread.startearlier=true (see jmeter.properties) 
2015/04/09 04:19:12 INFO  - jmeter.threads.JMeterThread: Running PostProcessors in forward order 
2015/04/09 04:19:12 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-1 
2015/04/09 04:19:12 INFO  - jmeter.services.FileServer: Stored: datagen/listado.csv 
2015/04/09 04:19:12 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-2 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-3 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-4 
2015/04/09 04:19:13 INFO  - jmeter.threads.JMeterThread: Thread started: Consultas 1-5 
